"id_loan","CurrentBalance","loan_age","delq_sts","Margin","countLatePayment","RefinanceRateRelativity","RealGDP","ChangeUnemploymentRate","CurrentLCV","fico","flag_fthb","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","loan_purpose","orig_loan_term","cnt_borr","flag_sc","customerFeedback","Churn","ZIP","Latitude","Longitude"
"F110Q3010660","57721.18","28","0","0.6749999999999998","0","-1.1813767808553686","0.1","-0.20000000000000018","-94.66792374999991","780","N","28140","0","1","P","30","15","60000","30","4.625","R","N","FRM","MO","PU","P","360","2","NA","","Yes","64101","39.103463","-94.600614"
"F111Q1162991","137822.43","29","0","-0.9500000000000002","0","-0.4375685122201398","3.1","-0.20000000000000018","-1691.7891670833333","738","9","NA","0","1","P","77","41","157000","77","4","R","N","FRM","IN","SF","N","180","2","NA","","No","47001","39.072665","-84.965538"
"F113Q2229240","68000","4","0","-0.7999999999999998","0","0.15440510275777264","4","-0.39999999999999947","-209.66666666666669","750","N","47894","0","1","P","80","33","68000","80","4.25","R","N","FRM","MD","SF","P","360","1","NA","","No","20701","39.125563","-76.785436"
"F116Q3014469","425000","3","0","-0.9000000000000004","0","0.06783341983419167","3.1","-0.20000000000000018","-851.7500000000006","797","N","47894","25","1","P","90","42","427000","90","3.55","R","N","FRM","DC","SF","P","360","1","Y","","No","20001","38.910353","-77.017739"
"F111Q2159645","528605.86","22","0","0","0","-0.8661060511001017","0.8","-0.20000000000000018","-283.93346583333283","772","9","47894","0","1","P","46","40","591000","46","4.25","R","N","FRM","VA","SF","N","180","2","Y","they refused to provided the rest of the loan documents and say my request is overly burdensome. i asked them to ask the investor to waive that requirement. they have refused to request that from the investor.","Yes","22301","38.819895","-77.059577"
"F108Q4117980","170153.96","24","0","-0.5","0","-1.094547741747098","-1.5","-0.5","-1717.1748675000003","707","9","NA","0","1","P","74","37","175000","74","5.25","R","N","FRM","IA","SF","C","360","2","NA","","No","52101","43.35361","-91.76605"
"F107Q1194021","339000","2","0","0.09999999999999964","0","-1.0598271987954302","3.1","0","84.91666666666636","713","N","47644","12","1","P","84","35","340000","84","7.25","T","N","FRM","MI","CO","N","360","2","NA","i opened a credit card with zales jewelry in . today i get home and i received a letter - dated //!! today!! - from the insurance department of zales corporation  congratulating  me for enrolling in their balance protection insurance. so i called the zales card and they confirmed the insurance fee and that  the representative at the store probably did it without telling me and i apologize","Yes","48301","42.5424","-83.282168"
"F102Q2136438","105000","1","0","0.25","0","-0.022420094158118076","2","-0.09999999999999964","-35.000000000000036","731","N","12020","0","1","P","80","27","105000","80","7","R","N","FRM","GA","SF","P","360","2","NA","","No","30601","33.999151","-83.346993"
"F115Q1031730","366336.07","17","0","0.02499999999999991","0","-0.06684824093612107","3.5","0","-2434.5322558333332","791","9","16974","0","1","P","79","31","376000","79","3.875","B","N","FRM","IL","SF","N","360","2","NA","","Yes","60201","42.056214","-87.692402"
"F111Q3157907","243000","6","0","-0.5999999999999996","0","0.15684914461925237","2.7","-0.29999999999999893","-1026.6666666666663","727","9","16580","0","1","P","57","18","250000","57","3.75","R","N","FRM","IL","SF","N","180","2","NA","","No","61801","40.108966","-88.211024"
